pl|g|ex_pl|tr|ex_tr
dom|meski|Mieszkam w dużym domu.|ev|Büyük bir evde yaşıyorum.
mieszkanie|nijaki|Wynajmuję mieszkanie w centrum.|daire|Şehir merkezinde daire kiralıyorum.
pokój|meski|Mam trzy pokoje w mieszkaniu.|oda|Dairemde üç oda var.
salon|meski|Salon jest największym pokojem.|oturma odası|Oturma odası en büyük odadır.
sypialnia|zenski|Sypialnia jest cicha i spokojna.|yatak odası|Yatak odası sessiz ve sakin.
kuchnia|zenski|Kuchnia jest nowoczesna i funkcjonalna.|mutfak|Mutfak modern ve işlevsel.
łazienka|zenski|Łazienka ma wannę i prysznic.|banyo|Banyoda küvet ve duş var.
toaleta|zenski|Toaleta jest na końcu korytarza.|tuvalet|Tuvalet koridorun sonunda.
korytarz|meski|Korytarz prowadzi do wszystkich pokoi.|koridor|Koridor tüm odalara açılıyor.
przedpokój|meski|W przedpokoju wieszamy płaszcze.|giriş holü|Giriş holünde paltolarımızı asıyoruz.
piwnica|zenski|Piwnica służy jako magazyn.|bodrum|Bodrum depo olarak kullanılıyor.
balkon|meski|Na balkonie mamy kwiaty.|balkon|Balkonda çiçeklerimiz var.
taras|meski|Taras jest idealny na letnie wieczory.|teras|Teras yaz akşamları için ideal.
ogród|meski|Ogród jest pięknie urządzony.|bahçe|Bahçe güzel düzenlenmiş.
garaż|meski|Garaż mieści dwa samochody.|garaj|Garaj iki araba alıyor.
biuro|nijaki|Pracuję w domowym biurze.|ofis|Ev ofisimde çalışıyorum.
kanapa|zenski|Kanapa jest wygodna i miękka.|kanepe|Kanepe rahat ve yumuşak.
sofa|zenski|Na sofie możemy spać dwoje.|koltuk|Koltuğa ikimiz oturabiliyoruz.
fotel|meski|Fotel przy oknie jest moim ulubionym miejscem.|koltuk (tekli)|Pencere başındaki koltuk benim favori yerim.
krzesło|nijaki|Przy stole stoi sześć krzeseł.|sandalye|Masanın etrafında altı sandalye var.
stół|meski|Stół jadalniany jest z drewna.|masa|Yemek masası ahşaptan.
stolik|meski|Stolik kawowy stoi przed kanapą.|sehpa|Sehpa kanepenin önünde duruyor.
biurko|nijaki|Biurko jest przy oknie.|çalışma masası|Çalışma masası pencerenin yanında.
łóżko|nijaki|Łóżko jest wygodne i szerokie.|yatak|Yatak rahat ve geniş.
szafa|zenski|Szafa jest pełna ubrań.|dolap|Dolap kıyafet dolu.
komoda|zenski|Komoda ma pięć szuflad.|şifonyer|Şifonyerin beş çekmeceği var.
półka|zenski|Na półce stoją książki i rośliny.|raf|Rafta kitaplar ve bitkiler duruyor.
regał|meski|Regał zajmuje całą ścianę.|kitaplık|Kitaplık bütün duvarı kaplıyor.
szafka|zenski|Szafka nocna stoi przy łóżku.|komodin|Komodin yatağın yanında duruyor.
lustro|nijaki|Lustro w łazience jest duże.|ayna|Banyodaki ayna büyük.
dywan|meski|Dywan w salonie jest perski.|halı|Oturma odasındaki halı İran halısı.
zasłony|cogul|Zasłony są z ciężkiej tkaniny.|perdeler|Perdeler ağır kumaştan.
rolety|cogul|Rolety blokują światło słoneczne.|stor perde|Stor perde güneş ışığını engelliyor.
lampa|zenski|Lampa stojąca oświetla cały pokój.|lamba|Zemin lambası odanın tamamını aydınlatıyor.
żyrandol|meski|Żyrandol wisi nad stołem jadalnym.|avize|Avize yemek masasının üzerinde asılı.
kinkiet|meski|Kinkiet przy łóżku jest regulowany.|aplik|Yatak başı apliği ayarlanabilir.
poduszka|zenski|Poduszka jest z pierzem.|yastık|Yastık tüy dolgu.
kołdra|zenski|Kołdra jest ciepła na zimę.|yorgan|Yorgan kış için sıcak.
pościel|zenski|Pościel jest świeżo uprana.|çarşaf takımı|Çarşaf takımı yeni yıkandı.
zlew|meski|Zlew w kuchni jest ze stali nierdzewnej.|eviye|Mutfak evelyesi paslanmaz çelikten.
zlewozmywak|meski|Zlewozmywak ma dwie komory.|çift gözlü eviye|Çift gözlü eviye pratik.
lodówka|zenski|Lodówka jest pełna jedzenia.|buzdolabı|Buzdolabı yiyecek dolu.
zamrażarka|zenski|Zamrażarka jest pod lodówką.|dondurucu|Dondurucu buzdolabının altında.
kuchenka|zenski|Kuchenka ma cztery palniki.|ocak|Ocağın dört gözü var.
piekarnik|meski|Piekarnik nagrzewa się do 250 stopni.|fırın|Fırın 250 dereceye kadar ısınıyor.
mikrofalówka|zenski|Mikrofalówka podgrzewa jedzenie w minutę.|mikrodalga|Mikrodalga yemeği bir dakikada ısıtıyor.
zmywarka|zenski|Zmywarka myje naczynia automatycznie.|bulaşık makinesi|Bulaşık makinesi tabakları otomatik yıkıyor.
