pl|g|ex_pl|tr|ex_tr
włosy|cogul|Moje włosy są krótkie.|saç|Saçlarım kısa.
czoło|nijaki|Masz wysokie czoło.|alın|Yüksek bir alnın var.
brew|zenski|Lewa brew mnie swędzi.|kaş|Sol kaşım kaşınıyor.
ucho|nijaki|Boli mnie ucho.|kulak|Kulağım ağrıyor.
rzęsa|zenski|Masz długie rzęsy.|kirpik|Uzun kirpiklerin var.
oko|nijaki|Niebieskie oczy są piękne.|göz|Mavi gözler güzeldir.
nos|meski|Mam zatkany nos.|burun|Burnum tıkalı.
policzek|meski|Masz czerwone policzki.|yanak|Yanakların kırmızı.
wąs|meski|Mój dziadek ma wąsy.|bıyık|Dedemin bıyığı var.
usta|cogul|Masz uśmiechnięte usta.|ağız|Gülümseyen bir ağzın var.
język|meski|Pokaż język.|dil|Dilini göster.
ząb|meski|Muszę umyć zęby.|diş|Dişlerimi fırçalamalıyım.
warga|zenski|Moje wargi są suche.|dudak|Dudaklarım kuru.
broda|zenski|On ma gęstą brodę.|çene / sakal|Onun gür bir sakalı var.
czaszka|zenski|To jest ludzka czaszka.|kafatası|Bu bir insan kafatasıdır.
obojczyk|meski|Złamał obojczyk.|köprücük kemiği|Köprücük kemiğini kırdı.
mostek|meski|Boli mnie w mostku.|göğüs kemiği|Göğüs kemiğimde ağrı var.
żebro|nijaki|Ile mamy żeber?|kaburga|Kaç kaburgamız var?
kręgosłup|meski|Dbaj o kręgosłup.|omurga|Omurgana dikkat et.
miednica|zenski|Miednica jest szeroka.|leğen kemiği|Leğen kemiği geniştir.
kość|zenski|To mocna kość.|kemik|Bu güçlü bir kemik.
mózg|meski|Mózg jest skomplikowany.|beyin|Beyin karmaşıktır.
płuco|nijaki|Płuca są zdrowe.|akciğer|Akciğerler sağlıklıdır.
serce|nijaki|Moje serce bije szybko.|kalp|Kalbim hızlı çarpıyor.
mięsień|meski|Mam zakwasy w mięśniach.|kas|Kaslarımda ağrı var.
tętnica|zenski|Tętnica transportuje krew.|atar damar|Atar damar kan taşır.
krew|zenski|Krew jest czerwona.|kan|Kan kırmızıdır.
wątroba|zenski|Wątroba jest ważna.|karaciğer|Karaciğer önemlidir.
żołądek|meski|Boli mnie żołądek.|mide|Midem ağrıyor.
jelito|nijaki|Jelita trawią jedzenie.|bağırsak|Bağırsaklar yemeği sindirir.
nerka|zenski|Nerki oczyszczają krew.|böbrek|Böbrekler kanı temizler.
pęcherz|meski|Mam pełny pęcherz.|mesane|Mesanem dolu.
żyła|zenski|Widać mu żyły.|toplar damar|Damarları görünüyor.
głowa|zenski|Boli mnie głowa.|baş / kafa|Başım ağrıyor.
szyja|zenski|Mam długą szyję.|boyun|Uzun bir boynum var.
gardło|nijaki|Gardło mnie boli.|boğaz|Boğazım ağrıyor.
ręka|zenski|Podaj mi rękę.|el / kol|Elini bana ver.
ramię|nijaki|Mam szerokie ramiona.|omuz|Geniş omuzlarım var.
łokieć|meski|Uderzyłem się w łokieć.|dirsek|Dirseğimi çarptım.
dłoń|zenski|Twoje dłonie są ciepłe.|avuç içi / el|Ellerin sıcak.
palec|meski|Mam pięć palców.|parmak|Beş parmağım var.
paznokieć|meski|Obcinam paznokcie.|tırnak|Tırnaklarımı kesiyorum.
pacha|zenski|Używam dezodorantu pod pachy.|koltuk altı|Koltuk altıma deodorant sürüyorum.
tułów|meski|Tułów jest częścią ciała.|gövde|Gövde vücudun bir parçasıdır.
brzuch|meski|Mam pełny brzuch.|karın|Karnım tok.
biodro|nijaki|Ręce na biodra.|kalça|Eller kalçaya.
noga|zenski|Bolą mnie nogi.|bacak|Bacaklarım ağrıyor.
udo|nijaki|Udo to część nogi.|uyluk|Uyluk bacağın bir kısmıdır.
kolano|nijaki|Upadłem na kolana.|diz|Dizlerimin üzerine düştüm.
łydka|zenski|Mam skurcz w łydce.|baldır|Baldırımda kramp var.
stopa|zenski|Moja stopa jest duża.|ayak|Ayağım büyük.
kostka|zenski|Skręciłem kostkę.|ayak bileği|Ayak bileğimi burktum.
pięta|zenski|Boli mnie pięta.|topuk|Topuğum ağrıyor.
kark|meski|Boli mnie kark.|ense|Ensem ağrıyor.
pierś|zenski|Pierś się unosi.|göğüs|Göğüs kafesi yükseliyor.
plecy|cogul|Proszę umyć mi plecy.|sırt|Lütfen sırtımı yıka.
talia|zenski|Ona ma wąską talię.|bel|Onun ince bir beli var.
pośladek|meski|Zastrzyk w pośladek.|kalça / popo|Kalçadan iğne.
