pl|g|ex_pl|tr|ex_tr
miejsce|nijaki|To jest piękne miejsce na piknik.|yer, mekan|Bu piknik için güzel bir yer.
rozumienie|nijaki|Rozumienie ze słuchu jest ważne w nauce języka.|anlama|Dil öğrenmede anlama becerisi çok önemlidir.
słuch|meski|Mam dobry słuch muzyczny.|işitme, duyma|İyi bir müzikal işitme yeteneğim var.
pisanie|nijaki|Pisanie po polsku jest trudne, ale możliwe.|yazma|Lehçe yazma zordur ama mümkündür.
mówienie|nijaki|Mówienie w obcym języku wymaga odwagi.|konuşma|Yabancı bir dilde konuşmak cesaret ister.
wynik|meski|Jaki jest wynik egzaminu?|sonuç|Sınavın sonucu ne?
zadanie|nijaki|To zadanie jest bardzo trudne.|görev, ödev|Bu ödev çok zor.
liczba|zenski|Liczba studentów w klasie wynosi dwadzieścia.|sayı|Sınıftaki öğrenci sayısı yirmi.
nagranie|nijaki|Proszę wysłuchać tego nagrania dwa razy.|kayıt|Lütfen bu kaydı iki kez dinleyin.
przykład|meski|Podaj mi przykład użycia tego słowa.|örnek|Bana bu kelimenin kullanımına dair bir örnek ver.
wypowiedź|zenski|Twoja wypowiedź była bardzo ciekawa.|ifade, söylem|Senin ifaden çok ilgi çekiciydi.
smutek|meski|W jego oczach widać było smutek.|üzüntü|Gözlerinde üzüntü okunuyordu.
radość|zenski|Jej twarz wyrażała wielką radość.|sevinç, mutluluk|Yüzü büyük bir sevinç ifade ediyordu.
rozmowa|zenski|Mieliśmy długą rozmowę przy kawie.|konuşma, sohbet|Kahve başında uzun bir sohbet ettik.
życzenia|cogul|Składam ci serdeczne życzenia urodzinowe.|dilekler, tebrikler|Sana içten doğum günü dileklerimi sunuyorum.
urodziny|cogul|Dzisiaj są moje urodziny.|doğum günü|Bugün doğum günüm.
dziecko|nijaki|To dziecko jest bardzo grzeczne.|çocuk|Bu çocuk çok terbiyeli.
mieszkanie|nijaki|Wynajmuję mieszkanie w centrum miasta.|daire, konut|Şehir merkezinde bir daire kiralıyorum.
przedszkole|nijaki|Moje dziecko chodzi do przedszkola.|anaokulu|Çocuğum anaokuluna gidiyor.
konkurs|meski|Wzięłam udział w konkursie językowym.|yarışma|Dil yarışmasına katıldım.
zaproszenie|nijaki|Dostałem zaproszenie na ślub.|davet|Düğüne davet aldım.
rodzice|cogul|Moi rodzice mieszkają w Warszawie.|ebeveynler, anne-baba|Anne-babam Varşova'da yaşıyor.
rocznica|zenski|Dzisiaj obchodzimy rocznicę ślubu.|yıldönümü|Bugün düğün yıldönümümüzü kutluyoruz.
ślub|meski|Ich ślub odbył się w maju.|düğün, evlilik|Onların düğünü Mayıs ayında gerçekleşti.
przyjęcie|nijaki|Urządzamy przyjęcie z okazji rocznicy.|parti, kabul|Yıldönümü için bir parti düzenliyoruz.
inicjatywa|zenski|To świetna inicjatywa dla lokalnej społeczności.|girişim|Bu yerel toplum için harika bir girişim.
gmina|zenski|Nasza gmina organizuje festyn.|belediye, ilçe|Belediyemiz şenlik düzenliyor.
miasteczko|nijaki|Wychowałem się w małym miasteczku.|kasaba|Küçük bir kasabada büyüdüm.
mieszkaniec|meski|Mieszkańcy miasta protestowali przeciwko decyzji.|sakin, oturan|Şehrin sakinleri karara karşı protesto yaptı.
warunek|meski|Jedynym warunkiem jest punktualność.|koşul, şart|Tek şart dakiklilik.
miejscowość|zenski|Ta miejscowość jest znana z historii.|yerleşim yeri|Bu yerleşim yeri tarihi ile ünlüdür.
turysta|meski|Ten turysta pyta o drogę do zamku.|turist|Bu turist kaleye giden yolu soruyor.
nieruchomość|zenski|Kupili nieruchomość nad morzem.|gayrimenkul, mülk|Deniz kenarında bir mülk satın aldılar.
popołudnie|nijaki|Spotkajmy się dziś popołudniu.|öğleden sonra|Bugün öğleden sonra buluşalım.
jezioro|nijaki|Spędziliśmy wakacje nad jeziorem.|göl|Göl kenarında tatil geçirdik.
przyjaciel|meski|On jest moim najlepszym przyjacielem.|arkadaş, dost|O benim en iyi arkadaşım.
koc|meski|Wzięłam koc na piknik.|battaniye|Pikniğe battaniye aldım.
kolega|meski|Mój kolega z pracy jest bardzo pomocny.|erkek arkadaş, meslektaş|İş arkadaşım çok yardımsever.
przekąska|zenski|Przygotowałam kilka przekąsek na wieczór.|atıştırmalık|Akşam için birkaç atıştırmalık hazırladım.
kosz|meski|Włóż zakupy do kosza.|sepet|Alışverişleri sepete koy.
koleżanka|zenski|Moja koleżanka z klasy jest bardzo mądra.|kadın arkadaş|Sınıf arkadaşım çok zeki.
zawody|cogul|Wzięłam udział w zawodach pływackich.|yarışma, meslek|Yüzme yarışmasına katıldım.
mecz|meski|Oglądaliśmy mecz piłki nożnej razem.|maç|Birlikte futbol maçı izledik.
siatkarz|meski|Ten siatkarz jest bardzo wysoki.|voleybolcu|Bu voleybolcu çok uzun boylu.
ortopeda|meski|Umówiłem się na wizytę do ortopedy.|ortopedist|Ortopediste randevu aldım.
uroda|zenski|Jej uroda zachwyca wszystkich.|güzellik|Onun güzelliği herkesi hayran bırakıyor.
sala|zenski|Lekcja odbywa się w dużej sali.|salon, sınıf|Ders büyük bir salonda yapılıyor.
gimnastyczna|zenski|Ćwiczymy w sali gimnastycznej.|jimnastik (salonu)|Jimnastik salonunda egzersiz yapıyoruz.
powietrze|nijaki|Powietrze w górach jest świeże i czyste.|hava|Dağlardaki hava taze ve temiz.
taksówkarz|meski|Taksówkarz zawiózł mnie na lotnisko.|taksici|Taksici beni havalimanına götürdü.
krytyka|zenski|Przyjąłem krytykę z pokorą.|eleştiri|Eleştiriyi alçakgönüllülükle kabul ettim.
komplement|meski|Dostałam piękny komplement od szefa.|iltifat|Patrondan güzel bir iltifat aldım.
