pl|g|ex_pl|tr|ex_tr
napisać|fiil|Napisałem list do przyjaciela.|yazmak (bitirmek)|Arkadaşıma mektup yazdım.
namalować|fiil|Namalowałam piękny obraz.|boyamak (bitirmek)|Güzel bir tablo boyadım.
narysować|fiil|Narysowałem mapę miasta.|çizmek (bitirmek)|Şehrin haritasını çizdim.
przeczytać|fiil|Przeczytałam tę książkę w tydzień.|okuyup bitirmek|Bu kitabı bir haftada okudum.
poznać|fiil|Poznałem go na konferencji.|tanımak (tanışmak)|Onu konferansta tanıdım.
zgryźć|fiil|Zgryzłem twardy orzech.|çiğnemek (bitirmek)|Sert cevizi çiğnedim.
pomyśleć|fiil|Pomyślałam chwilę i zdecydowałam.|düşünmek (bitirmek)|Bir an düşündüm ve karar verdim.
domyślić się|fiil|Domyśliłem się od razu.|tahmin etmek|Hemen tahmin ettim.
ściągnąć|fiil|Ściągnąłem plik z internetu.|indirmek (bitirmek)|Dosyayı internetten indirdim.
spaść|fiil|Kot spadł z drzewa.|düşmek (bitirmek)|Kedi ağaçtan düştü.
skoczyć|fiil|Skoczył przez płot.|atlamak (bitirmek)|Çitin üzerinden atladı.
dojechać|fiil|Dojechałem do Warszawy o ósmej.|varmak (araçla)|Saat sekizde Varşova'ya vardım.
zjeść|fiil|Zjadłam cały obiad.|yiyip bitirmek|Öğle yemeğinin hepsini yedim.
uszyć|fiil|Uszyłam sukienkę na wesele.|dikmek (bitirmek)|Düğün için elbise diktim.
ułożyć|fiil|Ułożyłem książki na półce.|düzenlemek (bitirmek)|Kitapları rafa dizdim.
sprzątnąć|fiil|Sprzątnęłam cały dom.|temizlemek (bitirmek)|Evin tamamını temizledim.
odrobić|fiil|Odrobiłem lekcje przed kolacją.|ödevini yapmak|Akşam yemeğinden önce ödevimi yaptım.
nauczyć się|fiil|Nauczyłem się nowych słów.|öğrenmek (bitirmek)|Yeni kelimeler öğrendim.
przyjść|fiil|Przyszła punktualnie na spotkanie.|gelmek (varmak)|Toplantıya zamanında geldi.
zarobić|fiil|Zarobiłem dużo w tym miesiącu.|kazanmak (bitirmek)|Bu ay çok kazandım.
pomieszkać|fiil|Pomieszkałem tam przez rok.|bir süre kalmak|Orada bir yıl kaldım.
wrócić|fiil|Wróciłam do domu późno.|dönmek (bitirmek)|Eve geç döndüm.
popatrzeć|fiil|Popatrzyłem przez okno.|bakmak (bir süre)|Pencereden baktım.
wziąć|fiil|Wzięłam parasolkę przed wyjściem.|almak (bitirmek)|Çıkmadan önce şemsiyeyi aldım.
klęknąć|fiil|Klęknął przed ołtarzem.|diz çökmek|Sunağın önünde diz çöktü.
wyjąć|fiil|Wyjąłem klucze z kieszeni.|çıkarmak (bitirmek)|Anahtarları cebimden çıkardım.
zamówić|fiil|Zamówiłam pizzę na wieczór.|sipariş vermek|Akşam için pizza sipariş verdim.
pozmywać|fiil|Pozmywałem wszystkie naczynia.|bulaşık yıkamak (bitirmek)|Bütün bulaşıkları yıkadım.
wypić|fiil|Wypiłam kawę przed pracą.|içip bitirmek|İşten önce kahvemi içtim.
pojechać|fiil|Pojechałem do Krakowa na weekend.|gitmek (araçla, bitirmek)|Hafta sonu Krakov'a gittim.
zadzwonić|fiil|Zadzwoniłam do mamy wieczorem.|aramak (telefon, bitirmek)|Akşam annemi aradım.
umyć|fiil|Umyłem ręce przed jedzeniem.|yıkamak (bitirmek)|Yemekten önce ellerimi yıkadım.
kupić|fiil|Kupiłam nowe buty w sobotę.|satın almak (bitirmek)|Cumartesi yeni ayakkabı aldım.
odkurzyć|fiil|Odkurzyłem salon i sypialniać.|elektrik süpürgesiyle temizlemek|Oturma odasını ve yatak odasını süpürdüm.
otworzyć|fiil|Otworzyłam okno, bo było gorąco.|açmak (bitirmek)|Sıcak olduğu için pencereyi açtım.
dać|fiil|Dałem jej książkę na urodziny.|vermek (bitirmek)|Doğum günü için ona kitap verdim.
spotkać się|fiil|Spotkaliśmy się w kawiarni.|buluşmak (bitirmek)|Kafede buluştuk.
obejrzeć|fiil|Obejrzałem ten film dwa razy.|izleyip bitirmek|Bu filmi iki kez izledim.
powiedzieć|fiil|Powiedziałam mu prawdę.|söylemek (bitirmek)|Ona gerçeği söyledim.
zobaczyć|fiil|Zobaczyłem ją na ulicy.|görmek (bitirmek)|Onu sokakta gördüm.
