pl|g|ex_pl|tr|ex_tr
spódnica|meski|Kupiłam nową spódnicę na lato.|etek|Yaz için yeni bir etek aldım.
pojemnik|meski|Wyrzuć butelki do pojemnika na plastik.|konteyner, kap|Şişeleri plastik kutusuna at.
kontener|meski|Na każdej ulicy stoi kontener na makulaturę.|konteyner|Her sokakta kağıt için bir konteyner var.
sortownia|meski|Odpady trafiają do sortowni.|ayırma tesisi|Atıklar ayırma tesisine gidiyor.
szafa|meski|W szafie nie ma już miejsca na ubrania.|dolap|Dolabın artık kıyafet için yeri kalmadı.
kosz|meski|Wrzuć śmieci do kosza.|çöp kutusu|Çöpü çöp kutusuna at.
odpady|meski|Segregujemy odpady w naszym domu.|atık|Evimizde atıkları ayırıyoruz.
schronisko|meski|Adoptowałam psa ze schroniska.|barınak|Barınaktan bir köpek sahiplendim.
zwierzę|meski|Zwierzęta potrzebują opieki i miłości.|hayvan|Hayvanlar ilgi ve sevgiye ihtiyaç duyar.
akcja|meski|Wzięliśmy udział w akcji sadzenia drzew.|kampanya, eylem|Ağaç dikme kampanyasına katıldık.
wiedza|meski|Wiedza o ekologii jest bardzo ważna.|bilgi|Ekoloji bilgisi çok önemlidir.
porządek|meski|Lubię mieć porządek na biurku.|düzen|Masamdaki düzeni seviyorum.
życie|meski|Życie na wsi jest spokojniejsze.|hayat, yaşam|Kırsalda hayat daha sakin.
miejscowość|meski|Ta miejscowość słynie z pięknych widoków.|yerleşim yeri|Bu yerleşim yeri güzel manzaralarıyla ünlüdür.
zbierać|fiil|Zbieram stare ubrania dla potrzebujących.|toplamak|İhtiyaçlılar için eski kıyafetler topluyorum.
sortować|fiil|Trzeba sortować śmieci na różne kategorie.|ayırmak|Çöpleri farklı kategorilere ayırmak gerekiyor.
dzielić|fiil|Dzielimy się obowiązkami domowymi.|bölmek, paylaşmak|Ev işlerini paylaşıyoruz.
trafiać|fiil|Plastik często trafia do oceanu.|ulaşmak|Plastik çoğu zaman okyanusa ulaşıyor.
nosić|fiil|Noszę tę samą kurtkę od trzech lat.|giymek, taşımak|Bu ceketi üç yıldır giyiyorum.
nadawać się|fiil|Ta sukienka nie nadaje się na zimę.|uygun olmak|Bu elbise kış için uygun değil.
sprzedać|fiil|Sprzedałam stare meble przez internet.|satmak|Eski mobilyaları internetten sattım.
oddać|fiil|Oddałem książki do biblioteki.|vermek, iade etmek|Kitapları kütüphaneye iade ettim.
wrzucić|fiil|Wrzuć papier do niebieskiego pojemnika.|atmak|Kağıdı mavi kutunun içine at.
przygotowywać|fiil|Przygotowuję prezentację na jutro.|hazırlamak|Yarın için sunum hazırlıyorum.
zdobywać|fiil|Zdobywam nowe umiejętności każdego dnia.|kazanmak, elde etmek|Her gün yeni beceriler kazanıyorum.
prowadzić|fiil|Prowadzi firmę od dziesięciu lat.|yürütmek|Şirketi on yıldır yönetiyor.
skrócić|fiil|Skróciłam spódnicę u krawcowej.|kısaltmak|Eteği terzide kısalttım.
kremowy|sifat|Kupiłam kremowy sweter na zimę.|krem rengi|Kış için krem rengi bir kazak aldım.
niepotrzebny|sifat|Wyrzuciłam niepotrzebne rzeczy z szafy.|gereksiz|Dolaptaki gereksiz şeyleri attım.
czysty|sifat|Pranie jest czyste i świeże.|temiz|Çamaşır temiz ve taze.
zniszczony|sifat|Ten płaszcz jest zbyt zniszczony.|yıpranmış, hasarlı|Bu palto çok yıpranmış.
zmieszany|sifat|Zmieszane odpady trudniej przetworzyć.|karışık|Karışık atıkları geri dönüştürmek daha zor.
edukacyjny|sifat|Program edukacyjny na temat recyklingu.|eğitimsel|Geri dönüşüm hakkında eğitici program.
skórzany|sifat|Mam skórzany portfel od lat.|deri|Yıllardır deri cüzdanim var.
dodatkowo|zarf|Dodatkowo dostałam zniżkę w sklepie.|ek olarak, ayrıca|Mağazada ayrıca indirim aldım.
jedynie|zarf|To jedynie moja opinia.|yalnızca, sadece|Bu yalnızca benim görüşüm.
kod kreskowy|meski|Zeskanuj kod kreskowy przy kasie.|barkod|Kasada barkodu tara.
