pl|g|ex_pl|tr|ex_tr
wchodzić|fiil|Codziennie wchodzę do biura o ósmej.|girmek (şimdiki z.)|Her gün saat sekizde ofise giriyorum.
wejść|fiil|Wszedłem do pokoju i zamknąłem drzwi.|girmek (geçmiş z.)|Odaya girdim ve kapıyı kapattım.
wychodzić|fiil|Wychodzę z domu o siódmej rano.|çıkmak (şimdiki z.)|Sabah yedide evden çıkıyorum.
wyjść|fiil|Wyszłam ze sklepu bez zakupów.|çıkmak (geçmiş z.)|Alışveriş yapmadan mağazadan çıktım.
schodzić|fiil|Schodzę po schodach bardzo wolno.|inmek (şimdiki z.)|Merdivenlerden çok yavaş iniyorum.
zejść|fiil|Zeszłam na dół i otworzyłam drzwi.|inmek (geçmiş z.)|Aşağıya indim ve kapıyı açtım.
podchodzić|fiil|Podchodzę do okna i patrzę na ulicę.|yaklaşmak (şimdiki z.)|Pencereye yaklaşıyor ve sokağa bakıyorum.
podejść|fiil|Podszedłem do niej i się przedstawiłem.|yaklaşmak (geçmiş z.)|Ona yaklaştım ve kendimi tanıttım.
przychodzić|fiil|Ona zawsze przychodzi punktualnie.|gelmek (şimdiki z.)|O her zaman dakik gelir.
przyjść|fiil|Przyszedł za późno na spotkanie.|gelmek (geçmiş z.)|Toplantıya çok geç geldi.
przechodzić|fiil|Codziennie przechodzę przez ten park.|geçmek (şimdiki z.)|Her gün bu parktan geçiyorum.
przejść|fiil|Przeszłam przez ulicę na czerwonym świetle.|geçmek (geçmiş z.)|Kırmızı ışıkta karşıya geçtim.
odchodzić|fiil|Odchodzę z tej pracy po dziesięciu latach.|ayrılmak (şimdiki z.)|On yılın ardından bu işten ayrılıyorum.
odejść|fiil|Odszedł bez słowa.|ayrılmak (geçmiş z.)|Tek kelime etmeden ayrıldı.
obchodzić|fiil|Obchodzę kałużę, żeby nie zamoczyć butów.|etrafından dolaşmak (şimdiki z.)|Ayakkabılarımı ıslatmamak için su birikintisinin etrafından dolaşıyorum.
obejść|fiil|Obeszłam cały budynek szukając wejścia.|etrafından dolaşmak (geçmiş z.)|Girişi ararken binanın etrafını dolaştım.
rozchodzić się|fiil|Goście rozchodzą się po imprezie.|dağılmak (şimdiki z.)|Misafirler partiden sonra dağılıyor.
rozejść się|fiil|Po spotkaniu wszyscy rozeszli się do domów.|dağılmak (geçmiş z.)|Toplantıdan sonra herkes evlerine dağıldı.
nadchodzić|fiil|Nadchodzi burza, lepiej wróćmy do domu.|yaklaşmak/gelmek (şimdiki z.)|Fırtına geliyor, eve dönelim.
nadejść|fiil|Nadeszła pora pożegnania.|yaklaşmak/gelmek (geçmiş z.)|Veda zamanı geldi.
dochodzić|fiil|Dochodzę do wniosku, że miałeś rację.|ulaşmak (şimdiki z.)|Haklı olduğun sonucuna varıyorum.
dojść|fiil|Doszliśmy do celu po trzech godzinach.|ulaşmak (geçmiş z.)|Üç saat sonra hedefe ulaştık.
