pl|g|ex_pl|tr|ex_tr
mężczyzna|meski|Ten mężczyzna jest bardzo wysoki.|adam, erkek|Bu adam çok uzun boylu.
kobieta|zenski|Ta kobieta pracuje jako lekarka.|kadın|Bu kadın doktor olarak çalışıyor.
staruszek|meski|Staruszek siedzi na ławce w parku.|yaşlı adam|Yaşlı adam parkta bankta oturuyor.
staruszka|zenski|Staruszka karmi ptaki w ogrodzie.|yaşlı kadın|Yaşlı kadın bahçede kuşları besliyor.
chłopiec|meski|Chłopiec gra w piłkę na podwórku.|erkek çocuk, oğlan|Oğlan avluda top oynuyor.
dziewczyna|zenski|Dziewczyna czyta książkę w parku.|kız, genç kadın|Kız parkta kitap okuyor.
niemowlę|nijaki|Niemowlę śpi spokojnie w łóżeczku.|bebek|Bebek beşikte sakin uyuyor.
dziewczynka|zenski|Dziewczynka bawi się lalką.|küçük kız|Küçük kız bebekle oynuyor.
chłopczyk|meski|Chłopczyk uczy się chodzić.|küçük erkek çocuk|Küçük erkek çocuk yürümeyi öğreniyor.
dziecko|nijaki|Dziecko potrzebuje dużo miłości.|çocuk|Çocuğun çok sevgiye ihtiyacı var.
pradziadek|meski|Mój pradziadek miał sto lat.|büyük büyükbaba|Büyük büyükbabam yüz yaşındaydı.
prababcia|zenski|Prababcia opowiadała stare historie.|büyük büyükanne|Büyük büyükannem eski hikayeler anlatırdı.
dziadek|meski|Dziadek uczy mnie grać w szachy.|büyükbaba, dede|Büyükbabam bana satranç oynamayı öğretiyor.
babcia|zenski|Babcia piecze najlepsze ciasta.|büyükanne, nine|Büyükannem en güzel kekleri pişirir.
teść|meski|Teść przyjechał na święta.|kayınpeder|Kayınpeder bayrama geldi.
teściowa|zenski|Teściowa pomaga nam z dziećmi.|kayınvalide|Kayınvalide bize çocuklarla yardım ediyor.
ojciec|meski|Ojciec wrócił późno z pracy.|baba|Baba işten geç döndü.
matka|zenski|Matka przygotowuje obiad dla rodziny.|anne|Anne aile için öğle yemeği hazırlıyor.
wuj|meski|Wuj przywiózł nam prezenty z podróży.|dayı, amca|Dayı/amca seyahattan bize hediyeler getirdi.
ciotka|zenski|Ciotka mieszka w innym mieście.|hala, teyze|Hala/teyze başka bir şehirde yaşıyor.
brat|meski|Mój brat studiuje w Krakowie.|erkek kardeş|Erkek kardeşim Krakov'da okuyor.
siostra|zenski|Siostra jest starsza ode mnie o dwa lata.|kız kardeş|Kız kardeşim benden iki yaş büyük.
kuzyn|meski|Kuzyn odwiedził nas w wakacje.|erkek kuzen|Erkek kuzen tatilde bizi ziyaret etti.
kuzynka|zenski|Kuzynka wyszła za mąż w zeszłym roku.|kız kuzen|Kız kuzen geçen yıl evlendi.
syn|meski|Syn zdał egzamin z wynikiem celującym.|oğul|Oğul sınavı pekiyi ile geçti.
synowa|zenski|Synowa jest bardzo miłą osobą.|gelin|Gelin çok güzel bir insan.
córka|zenski|Córka uczy się w szkole muzycznej.|kız evlat|Kız evlat müzik okulunda okuyor.
zięć|meski|Zięć pomaga teściowi w ogrodzie.|damat|Damat kayınpederine bahçede yardım ediyor.
bratanek|meski|Bratanek ma pięć lat i jest bardzo żywy.|erkek kardeşin oğlu, yeğen (e)|Yeğen beş yaşında ve çok canlı.
bratanica|zenski|Bratanica odwiedza nas co weekend.|erkek kardeşin kızı, yeğen (k)|Yeğen her hafta sonu bizi ziyaret eder.
siostrzeniec|meski|Siostrzeniec jest podobny do swojej matki.|kız kardeşin oğlu, yeğen (e)|Yeğen annesine çok benziyor.
siostrzenica|zenski|Siostrzenica uczy się języka angielskiego.|kız kardeşin kızı, yeğen (k)|Yeğen İngilizce öğreniyor.
wnuk|meski|Wnuk odwiedza dziadków co tydzień.|torun (erkek)|Torun her hafta büyükbabasını ziyaret eder.
wnuczka|zenski|Wnuczka jest oczkiem w głowie babci.|torun (kız)|Torun büyükannenin gözbebeği.
prawnuk|meski|Prawnuk urodził się zdrowy i silny.|büyük torun (erkek)|Büyük torun sağlıklı ve güçlü doğdu.
prawnuczka|zenski|Prawnuczka ma piękne niebieskie oczy.|büyük torun (kız)|Büyük torunun güzel mavi gözleri var.
mąż|meski|Mąż gotuje dziś kolację.|koca, eş|Koca bu akşam akşam yemeği pişiriyor.
żona|zenski|Żona pracuje w szpitalu jako pielęgniarka.|eş, karı|Eş hastanede hemşire olarak çalışıyor.
