pl|g|ex_pl|tr|ex_tr
Dzień dobry|zarf|Dzień dobry! Jak się pan miewa?|Günaydın / İyi günler|Günaydın! Nasılsınız?
Dobry wieczór|zarf|Dobry wieczór! Miło panią widzieć.|İyi akşamlar|İyi akşamlar! Sizi görmek güzel.
Cześć|zarf|Cześć! Co słychać?|Merhaba / Selam|Merhaba! Ne haber?
Do widzenia|zarf|Do widzenia! Do zobaczenia jutro.|Hoşça kalın / Güle güle|Hoşça kalın! Yarın görüşürüz.
Do zobaczenia|zarf|Do zobaczenia w piątek!|Görüşürüz|Cuma günü görüşürüz!
Dobranoc|zarf|Dobranoc! Śpij dobrze.|İyi geceler|İyi geceler! Güzel uyu.
Na razie|zarf|Na razie! Zadzwoń do mnie.|Görüşmek üzere / Bayaa|Görüşmek üzere! Beni ara.
Witam|zarf|Witam wszystkich na spotkaniu.|Hoş geldiniz / Merhaba|Toplantıya herkesi hoş geldiniz.
Dziękuję|zarf|Dziękuję bardzo za pomoc.|Teşekkür ederim|Yardımın için çok teşekkür ederim.
Dziękuję bardzo|zarf|Dziękuję bardzo, to bardzo miłe.|Çok teşekkür ederim|Çok teşekkür ederim, bu çok nazik.
Proszę|zarf|Proszę, wejdź.|Lütfen / Buyurun / Rica ederim|Buyurun, içeri girin.
Przepraszam|zarf|Przepraszam za spóźnienie.|Özür dilerim / Pardon|Geç kaldığım için özür dilerim.
Nie ma problemu|zarf|Nie ma problemu, spokojnie.|Sorun değil|Sorun değil, rahat ol.
Nie ma za co|zarf|Dziękuję! Nie ma za co.|Rica ederim / Bir şey değil|Teşekkürler! Bir şey değil.
Proszę bardzo|zarf|Proszę bardzo, oto herbata.|Buyurun / Rica ederim|Buyurun, işte çayınız.
jeden|zarf|Mam jeden brat.|bir|Bir erkek kardeşim var.
dwa|zarf|Proszę dwa bilety.|iki|İki bilet lütfen.
trzy|zarf|Mam trzy koty.|üç|Üç kedim var.
cztery|zarf|Czekam od czterech godzin.|dört|Dört saattir bekliyorum.
pięć|zarf|Pięć minut, proszę.|beş|Beş dakika lütfen.
dziesięć|zarf|Dziesięć złotych, proszę.|on|On zloti lütfen.
sto|zarf|To kosztuje sto złotych.|yüz|Bu yüz zlotiye mal oluyor.
pierwszy|sıfat|Jestem na pierwszym piętrze.|birinci|Birinci kattayım.
czerwony|sıfat|Mam czerwony samochód.|kırmızı|Kırmızı bir arabam var.
niebieski|sıfat|Niebo jest niebieskie.|mavi|Gökyüzü mavidir.
zielony|sıfat|Trawa jest zielona.|yeşil|Çimen yeşildir.
żółty|sıfat|Słońce jest żółte.|sarı|Güneş sarıdır.
biały|sıfat|Śnieg jest biały.|beyaz|Kar beyazdır.
czarny|sıfat|Mam czarnego kota.|siyah|Siyah bir kedim var.
szary|sıfat|Mam szary płaszcz.|gri|Gri bir paltom var.
różowy|sıfat|Lubię różowe kwiaty.|pembe|Pembe çiçekleri severim.
poniedziałek|meski|W poniedziałek mam spotkanie.|Pazartesi|Pazartesi günü toplantım var.
wtorek|meski|We wtorek idę do lekarza.|Salı|Salı günü doktora gidiyorum.
środa|zenski|W środę mam kurs języka.|Çarşamba|Çarşamba günü dil kursun var.
czwartek|meski|W czwartek wyjeżdżam do Warszawy.|Perşembe|Perşembe günü Varşova'ya gidiyorum.
piątek|meski|W piątek kończymy wcześniej.|Cuma|Cuma günü erken bitiriyoruz.
sobota|zenski|W sobotę idę na zakupy.|Cumartesi|Cumartesi günü alışverişe gidiyorum.
niedziela|zenski|W niedzielę odpoczywam w domu.|Pazar|Pazar günü evde dinleniyorum.
dzisiaj|zarf|Dzisiaj jest ładna pogoda.|bugün|Bugün hava güzel.
jutro|zarf|Jutro mam egzamin.|yarın|Yarın sınavım var.
wczoraj|zarf|Wczoraj byłem w kinie.|dün|Dün sinemadaydım.
Gdzie|zarf|Gdzie jest dworzec?|Nerede|İstasyon nerede?
Kiedy|zarf|Kiedy przyjeżdżasz?|Ne zaman|Ne zaman geliyorsun?
Jak|zarf|Jak się nazywasz?|Nasıl|Adın ne?
Ile|zarf|Ile to kosztuje?|Ne kadar / Kaç tane|Bu ne kadar?
Co|zarf|Co to jest?|Ne|Bu ne?
Kto|zarf|Kto to jest?|Kim|Bu kim?
Dlaczego|zarf|Dlaczego się śmiejesz?|Neden|Neden gülüyorsun?
Czy mówi pan po angielsku|zarf|Przepraszam, czy mówi pan po angielsku?|İngilizce biliyor musunuz?|Pardon, İngilizce biliyor musunuz?
Nie rozumiem|zarf|Przepraszam, nie rozumiem.|Anlamıyorum|Özür dilerim, anlamıyorum.
Proszę powtórzyć|zarf|Proszę powtórzyć, nie zrozumiałem.|Lütfen tekrar edin|Lütfen tekrar edin, anlamadım.
Ile kosztuje|zarf|Ile kosztuje ten sweter?|Ne kadar?|Bu kazak ne kadar?
Czy jest|zarf|Czy jest wolny stolik?|Var mı?|Boş masa var mı?
Poproszę|zarf|Poproszę kawę i ciasto.|Rica ediyorum / Alabilir miyim|Bir kahve ve pasta alabilir miyim lütfen.
Gdzie jest sklep|zarf|Przepraszam, gdzie jest sklep?|Dükkan nerede?|Pardon, dükkan nerede?
Chciałbym|zarf|Chciałbym zarezerwować stolik.|İstiyorum (erkek)|Masa rezervasyonu yaptırmak istiyorum.
Chciałabym|zarf|Chciałabym przymierzyć tę sukienkę.|İstiyorum (kadın)|Bu elbiseyi denemek istiyorum.
Czy mogę zapłacić|zarf|Czy mogę zapłacić kartą?|Ödeyebilir miyim?|Kartla ödeyebilir miyim?
paragon|meski|Czy mogę prosić o paragon?|fiş, makbuz|Fiş alabilir miyim lütfen?
kasa|zenski|Proszę zapłacić przy kasie.|kasa|Lütfen kasada ödeyiniz.
woda|zenski|Poproszę szklankę wody.|su|Bir bardak su lütfen.
kawa|zenski|Czy jest dobra kawa?|kahve|İyi kahve var mı?
herbata|zenski|Poproszę herbatę z cytryną.|çay|Limonlu çay lütfen.
piwo|nijaki|Poproszę jedno piwo.|bira|Bir bira lütfen.
chleb|meski|Czy jest świeży chleb?|ekmek|Taze ekmek var mı?
ser|meski|Poproszę sto gramów sera.|peynir|Yüz gram peynir lütfen.
mięso|nijaki|Nie jem mięsa.|et|Et yemiyorum.
ryba|zenski|Lubię jeść rybę.|balık|Balık yemeyi seviyorum.
warzywa|cogul|Jem dużo warzyw.|sebzeler|Çok sebze yerim.
owoce|cogul|Codziennie jem owoce.|meyveler|Her gün meyve yerim.
śniadanie|nijaki|O której jest śniadanie?|kahvaltı|Kahvaltı saat kaçta?
obiad|meski|Obiad jest o trzynastej.|öğle yemeği / akşam yemeği|Öğle yemeği saat birde.
kolacja|zenski|Zapraszam na kolację.|akşam yemeği|Sizi akşam yemeğine davet ediyorum.
smacznego|zarf|Smacznego! Dobry apetyt.|Afiyet olsun|Afiyet olsun!
